number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,501.246,76.5,414.046,72.89,1.255,4.302
2,БДДР,Бели Искър,15.08,1.4,7.154,47.44,5.754,42.06,0.742,0.769
3,БДДР,Среченска бара,15.5,1.0,11.527,74.37,10.527,72.6,0.139,0.602
4,БДДР,Христо Смирненски,27.7,4.2,23.618,85.26,19.418,82.63,0.029,0.321
5,БДДР,Йовковци,92.179,9.0,63.73,69.14,54.73,65.8,0.058,0.826
6,БДЧР,Тича,311.8,40.0,143.981,46.18,103.981,38.26,0.079,1.886
7,БДЧР,Камчия,233.55,76.0,112.49,48.17,36.49,23.16,0.007,2.253
8,БДЧР,Ясна поляна,32.32,7.55,13.201,40.84,5.651,22.81,0.012,0.475
9,БДИБР,Асеновец,28.2,2.0,12.367,43.85,10.367,39.57,0.012,0.243
10,БДИБР,Боровица,27.3,4.6,24.814,90.89,20.214,89.05,0.064,0.319
11,БДЗБР,Студена,25.2,2.4,17.307,68.68,14.907,65.38,0.35,0.774
12,БДЗБР,Дяково,35.4,8.0,26.132,73.82,18.132,66.17,0.0,0.39
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.564,55.11,0.464,50.25,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,1.08,47.97,0.88,42.9,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,15.709,49.71,13.209,45.39,0.238,0.84
16,БДЧР,Порой,45.2,2.0,2.305,5.1,0.305,0.71,0.023,0.0
17,БДЧР,Ахелой,12.35,0.8,3.229,26.15,2.429,21.03,0.012,0.0
18,БДДР,Панчарево,6.465,1.5,5.245,81.13,3.745,75.42,1.008,1.424
19,БДДР,Ястребино,62.3,3.9,21.675,34.79,17.775,30.44,0.058,0.116
20,БДДР,Кула,20.25,0.7,8.872,43.81,8.172,41.8,0.0,0.046
21,БДДР,Рабиша,43.2,2.4,11.817,27.35,9.417,23.08,0.0,0.012
22,БДДР,Огоста,506.0,67.0,182.43,36.05,115.43,26.29,0.544,4.19
23,БДДР,Сопот,60.908,1.3,32.07,52.65,30.77,51.62,0.394,0.394
24,БДДР,Горни Дъбник,130.0,3.0,31.129,23.95,28.129,22.15,0.139,1.076
25,БДДР,Бели Лом,25.5,3.2,7.655,30.02,4.455,19.98,0.058,0.058
26,БДЧР,Съединение,12.81,1.5,7.033,54.9,5.533,48.92,0.012,0.069
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,105.979,32.11,84.979,27.5,0.0,2.627
28,БДИБР,Жребчево,400.0,30.0,100.656,25.16,70.656,19.1,0.84,1.951
29,БДИБР,Малко Шарково,45.0,3.9,20.39,45.31,16.49,40.12,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,2.023,7.76,1.323,5.21,0.056,0.01
31,БДИБР,Пясъчник,206.53,3.4,13.224,6.4,9.824,4.84,0.0,0.06
32,БДИБР,Тополница,137.108,20.0,21.566,15.73,1.566,1.34,0.174,0.37
33,БДИБР,Тракиец,114.0,24.0,51.603,45.27,27.603,30.67,0.0,0.301
34,БДЗБР,Пчелина,54.2,34.2,53.9,99.45,19.7,98.5,3.438,3.438
35,БДДР,Александър Стамболийски,205.569,20.0,114.939,55.91,94.939,51.16,1.053,1.053
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,13.873,9.75,8.463,6.19,1.547,1.056
,БДИБР,Белмекен-Чаира,149.536,5.179,73.988,49.48,68.809,47.67,2.1,2.034
38,БДИБР,Белмекен,144.036,3.81,70.962,49.27,67.152,47.89,,
39,БДИБР,Чаира,5.5,1.369,3.026,55.02,1.657,40.11,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,26.725,31.04,19.483,24.71,0.451,0.722
40,БДИБР,Голям Беглик,62.111,3.942,23.125,37.23,19.183,32.98,,
41,БДИБР,Широка поляна,23.98,3.3,3.6,15.01,0.3,1.45,,
42,БДИБР,Беглика,1.554,0.242,0.668,42.96,0.426,32.44,0.034,0.009
43,БДИБР,Тошков Чарк,1.782,0.276,0.774,43.45,0.498,33.09,0.213,0.008
44,БДИБР,Батак,310.298,19.95,161.509,52.05,141.559,48.75,1.073,1.073
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,360.62,80.27,345.713,79.59,1.063,8.173
46,БДИБР,Цанков камък,110.708,31.2,82.756,74.75,51.556,64.84,6.415,8.195
47,БДИБР,Въча,226.12,24.52,132.879,58.76,108.359,53.75,15.167,9.004
48,БДИБР,Кричим,20.256,1.73,19.321,95.38,17.591,94.95,8.819,13.929
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,314.8,63.31,207.624,53.23,0.875,5.034
50,БДИБР,Студен кладенец,387.772,90.667,216.371,55.8,125.704,42.31,4.516,2.409
51,БДИБР,Ивайловград,156.702,59.526,89.863,57.35,30.337,31.22,2.398,0.396
52,БДИБР,Розов кладенец,20.4,13.268,19.212,94.18,5.944,83.34,,
