number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,513.416,78.35,426.216,75.03,0.455,6.611
2,БДДР,Бели Искър,15.08,1.4,6.82,45.23,5.42,39.62,0.469,0.971
3,БДДР,Среченска бара,15.5,1.0,12.973,83.7,11.973,82.57,0.255,0.66
4,БДДР,Христо Смирненски,27.7,4.2,24.513,88.49,20.313,86.44,0.051,0.343
5,БДДР,Йовковци,92.179,9.0,66.263,71.89,57.263,68.84,0.11,0.899
6,БДЧР,Тича,311.8,40.0,151.373,48.55,111.373,40.98,0.035,2.487
7,БДЧР,Камчия,233.55,76.0,124.051,53.12,48.051,30.5,0.017,3.096
8,БДЧР,Ясна поляна,32.32,7.55,14.956,46.27,7.406,29.9,0.012,0.556
9,БДИБР,Асеновец,28.2,2.0,13.92,49.36,11.92,45.5,0.012,0.324
10,БДИБР,Боровица,27.3,4.6,25.367,92.92,20.767,91.48,0.135,0.39
11,БДЗБР,Студена,25.2,2.4,18.916,75.06,16.516,72.44,0.06,0.817
12,БДЗБР,Дяково,35.4,8.0,27.842,78.65,19.842,72.41,0.0,1.064
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.599,58.54,0.499,54.05,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,1.056,46.9,0.856,41.72,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,18.006,56.98,15.506,53.29,0.129,0.337
16,БДЧР,Порой,45.2,2.0,3.081,6.82,1.081,2.5,0.012,0.0
17,БДЧР,Ахелой,12.35,0.8,3.278,26.54,2.478,21.45,0.023,0.0
18,БДДР,Панчарево,6.465,1.5,5.476,84.7,3.976,80.07,1.817,2.132
19,БДДР,Ястребино,62.3,3.9,23.328,37.44,19.428,33.27,0.116,1.227
20,БДДР,Кула,20.25,0.7,9.04,44.64,8.34,42.66,0.0,0.069
21,БДДР,Рабиша,43.2,2.4,11.911,27.57,9.511,23.31,0.0,0.046
22,БДДР,Огоста,506.0,67.0,196.315,38.8,129.315,29.46,0.116,6.481
23,БДДР,Сопот,60.908,1.3,33.21,54.52,31.91,53.53,2.002,4.78
24,БДДР,Горни Дъбник,130.0,3.0,34.82,26.78,31.82,25.06,1.03,2.049
25,БДДР,Бели Лом,25.5,3.2,7.876,30.89,4.676,20.97,0.023,0.417
26,БДЧР,Съединение,12.81,1.5,7.24,56.52,5.74,50.75,0.035,0.093
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,111.194,33.7,90.194,29.19,0.394,1.713
28,БДИБР,Жребчево,400.0,30.0,113.466,28.37,83.466,22.56,1.05,8.064
29,БДИБР,Малко Шарково,45.0,3.9,20.865,46.37,16.965,41.28,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,2.405,9.22,1.705,6.72,0.0,0.7
31,БДИБР,Пясъчник,206.53,3.4,13.468,6.52,10.068,4.96,0.0,0.094
32,БДИБР,Тополница,137.108,20.0,26.044,19.0,6.044,5.16,0.417,10.417
33,БДИБР,Тракиец,114.0,24.0,54.698,47.98,30.698,34.11,0.0,1.088
34,БДЗБР,Пчелина,54.2,34.2,53.8,99.26,19.6,98.0,2.674,2.095
35,БДДР,Александър Стамболийски,205.569,20.0,126.942,61.75,106.942,57.63,0.18,2.947
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,15.689,11.03,10.279,7.51,0.548,6.953
,БДИБР,Белмекен-Чаира,149.536,5.179,79.669,53.28,74.49,51.6,0.266,8.428
38,БДИБР,Белмекен,144.036,3.81,75.314,52.29,71.504,50.99,,
39,БДИБР,Чаира,5.5,1.369,4.355,79.19,2.986,72.29,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,26.581,30.88,19.339,24.53,1.374,0.569
40,БДИБР,Голям Беглик,62.111,3.942,22.846,36.78,18.904,32.5,,
41,БДИБР,Широка поляна,23.98,3.3,3.735,15.58,0.435,2.1,,
42,БДИБР,Беглика,1.554,0.242,0.683,43.94,0.441,33.6,0.006,0.006
43,БДИБР,Тошков Чарк,1.782,0.276,1.06,59.49,0.784,52.07,0.163,0.35
44,БДИБР,Батак,310.298,19.95,173.601,55.95,153.651,52.92,1.591,12.626
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,384.674,85.63,369.767,85.13,0.943,8.31
46,БДИБР,Цанков камък,110.708,31.2,81.358,73.49,50.158,63.09,8.493,1.51
47,БДИБР,Въча,226.12,24.52,130.571,57.74,106.051,52.6,2.384,9.78
48,БДИБР,Кричим,20.256,1.73,19.433,95.94,17.703,95.56,9.603,8.102
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,323.397,65.04,216.221,55.43,2.719,1.303
50,БДИБР,Студен кладенец,387.772,90.667,211.702,54.59,121.035,40.74,0.834,2.883
51,БДИБР,Ивайловград,156.702,59.526,102.762,65.58,43.236,44.49,1.007,7.225
52,БДИБР,Розов кладенец,20.4,13.268,19.212,94.18,5.944,83.34,,
