number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,513.15,78.31,425.95,74.98,6.79,3.714
2,БДДР,Бели Искър,15.08,1.4,9.607,63.7,8.207,59.99,0.432,0.759
3,БДДР,Среченска бара,15.5,1.0,14.768,95.28,13.768,94.95,1.701,1.701
4,БДДР,Христо Смирненски,27.7,4.2,20.799,75.09,16.599,70.63,0.883,0.75
5,БДДР,Йовковци,92.179,9.0,76.115,82.57,67.115,80.69,0.116,0.696
6,БДЧР,Тича,311.8,40.0,185.448,59.48,145.448,53.51,1.442,1.442
7,БДЧР,Камчия,233.55,76.0,158.602,67.91,82.602,52.43,2.639,2.546
8,БДЧР,Ясна поляна,32.32,7.55,18.617,57.6,11.067,44.68,0.845,0.289
9,БДИБР,Асеновец,28.2,2.0,11.767,41.73,9.767,37.28,0.37,0.37
10,БДИБР,Боровица,27.3,4.6,24.261,88.87,19.661,86.61,0.151,0.255
11,БДЗБР,Студена,25.2,2.4,19.483,77.31,17.083,74.92,0.844,0.844
12,БДЗБР,Дяково,35.4,8.0,22.493,63.54,14.493,52.89,0.0,0.515
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.31,30.22,0.21,22.67,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,1.007,44.73,0.807,39.34,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,18.68,59.11,16.18,55.6,0.335,0.335
16,БДЧР,Порой,45.2,2.0,5.254,11.62,3.254,7.53,0.255,0.0
17,БДЧР,Ахелой,12.35,0.8,3.475,28.14,2.675,23.16,0.058,0.0
18,БДДР,Панчарево,6.465,1.5,5.151,79.68,3.651,73.54,2.79,2.623
19,БДДР,Ястребино,62.3,3.9,33.941,54.48,30.041,51.44,0.139,0.139
20,БДДР,Кула,20.25,0.7,9.343,46.14,8.643,44.21,0.035,0.035
21,БДДР,Рабиша,43.2,2.4,12.327,28.53,9.927,24.33,0.0,0.0
22,БДДР,Огоста,506.0,67.0,240.41,47.51,173.41,39.5,2.373,4.34
23,БДДР,Сопот,60.908,1.3,35.569,58.4,34.269,57.49,0.984,0.22
24,БДДР,Горни Дъбник,130.0,3.0,46.84,36.03,43.84,34.52,0.949,0.347
25,БДДР,Бели Лом,25.5,3.2,8.029,31.49,4.829,21.65,0.081,0.081
26,БДЧР,Съединение,12.81,1.5,7.875,61.48,6.375,56.37,0.081,0.081
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,135.455,41.05,114.455,37.04,1.065,1.065
28,БДИБР,Жребчево,400.0,30.0,179.956,44.99,149.956,40.53,3.599,2.002
29,БДИБР,Малко Шарково,45.0,3.9,30.368,67.48,26.468,64.4,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,4.054,15.55,3.354,13.22,0.386,0.004
31,БДИБР,Пясъчник,206.53,3.4,19.845,9.61,16.445,8.1,0.088,0.088
32,БДИБР,Тополница,137.108,20.0,51.88,37.84,31.88,27.22,4.063,0.567
33,БДИБР,Тракиец,114.0,24.0,63.061,55.32,39.061,43.4,0.035,0.116
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,7.407,7.407
35,БДДР,Александър Стамболийски,205.569,20.0,129.665,63.08,109.665,59.1,4.776,1.05
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,41.436,29.14,36.026,26.33,2.209,1.065
,БДИБР,Белмекен-Чаира,149.536,5.179,87.284,58.37,82.105,56.88,2.677,5.373
38,БДИБР,Белмекен,144.036,3.81,83.236,57.79,79.426,56.64,,
39,БДИБР,Чаира,5.5,1.369,4.048,73.59,2.679,64.84,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,56.207,65.29,48.965,62.1,3.926,7.62
40,БДИБР,Голям Беглик,62.111,3.942,43.216,69.58,39.274,67.52,,
41,БДИБР,Широка поляна,23.98,3.3,12.991,54.17,9.691,46.86,,
42,БДИБР,Беглика,1.554,0.242,0.886,57.03,0.644,49.11,0.191,0.001
43,БДИБР,Тошков Чарк,1.782,0.276,0.528,29.64,0.252,16.74,0.366,0.939
44,БДИБР,Батак,310.298,19.95,179.495,57.85,159.545,54.95,8.546,0.521
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,407.695,90.75,392.788,90.43,1.428,8.795
46,БДИБР,Цанков камък,110.708,31.2,78.207,70.64,47.007,59.12,10.508,16.742
47,БДИБР,Въча,226.12,24.52,145.85,64.5,121.33,60.18,18.139,7.3
48,БДИБР,Кричим,20.256,1.73,19.312,95.34,17.582,94.91,6.733,4.733
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,288.959,58.11,181.783,46.6,7.155,0.852
50,БДИБР,Студен кладенец,387.772,90.667,250.007,64.47,159.34,53.63,4.887,2.408
51,БДИБР,Ивайловград,156.702,59.526,113.433,72.39,53.907,55.47,7.268,0.502
52,БДИБР,Розов кладенец,20.4,13.268,18.888,92.59,5.62,78.8,,
