number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,511.025,77.99,423.825,74.61,9.71,6.64
2,БДДР,Бели Искър,15.08,1.4,9.647,63.97,8.247,60.28,0.891,0.91
3,БДДР,Среченска бара,15.5,1.0,14.605,94.23,13.605,93.83,0.567,0.567
4,БДДР,Христо Смирненски,27.7,4.2,20.974,75.72,16.774,71.38,0.214,0.753
5,БДДР,Йовковци,92.179,9.0,76.617,83.12,67.617,81.29,0.133,0.715
6,БДЧР,Тича,311.8,40.0,186.322,59.76,146.322,53.83,1.518,1.518
7,БДЧР,Камчия,233.55,76.0,159.491,68.29,83.491,52.99,2.565,2.565
8,БДЧР,Ясна поляна,32.32,7.55,18.468,57.14,10.918,44.08,0.451,0.231
9,БДИБР,Асеновец,28.2,2.0,11.84,41.99,9.84,37.56,0.336,0.336
10,БДИБР,Боровица,27.3,4.6,24.317,89.07,19.717,86.86,0.105,0.255
11,БДЗБР,Студена,25.2,2.4,19.183,76.12,16.783,73.61,1.777,0.819
12,БДЗБР,Дяково,35.4,8.0,22.804,64.42,14.804,54.03,0.0,0.343
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.289,28.24,0.189,20.48,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,1.146,50.89,0.946,46.11,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,18.629,58.95,16.129,55.43,0.335,0.335
16,БДЧР,Порой,45.2,2.0,5.216,11.54,3.216,7.44,0.243,0.0
17,БДЧР,Ахелой,12.35,0.8,3.432,27.79,2.632,22.79,0.012,0.0
18,БДДР,Панчарево,6.465,1.5,5.353,82.8,3.853,77.6,8.043,5.876
19,БДДР,Ястребино,62.3,3.9,33.744,54.16,29.844,51.1,0.313,0.127
20,БДДР,Кула,20.25,0.7,9.343,46.14,8.643,44.21,0.15,0.035
21,БДДР,Рабиша,43.2,2.4,12.328,28.54,9.928,24.33,0.0,0.0
22,БДДР,Огоста,506.0,67.0,240.75,47.58,173.75,39.58,4.456,8.507
23,БДДР,Сопот,60.908,1.3,34.864,57.24,33.564,56.31,1.308,0.22
24,БДДР,Горни Дъбник,130.0,3.0,46.624,35.86,43.624,34.35,0.347,0.347
25,БДДР,Бели Лом,25.5,3.2,8.012,31.42,4.812,21.58,0.069,0.069
26,БДЧР,Съединение,12.81,1.5,7.858,61.34,6.358,56.22,0.081,0.081
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,135.682,41.12,114.682,37.11,1.019,1.019
28,БДИБР,Жребчево,400.0,30.0,179.404,44.85,149.404,40.38,1.701,1.701
29,БДИБР,Малко Шарково,45.0,3.9,30.368,67.48,26.468,64.4,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,3.735,14.32,3.035,11.96,0.45,0.004
31,БДИБР,Пясъчник,206.53,3.4,19.39,9.39,15.99,7.87,0.492,0.086
32,БДИБР,Тополница,137.108,20.0,49.789,36.31,29.789,25.44,3.102,0.556
33,БДИБР,Тракиец,114.0,24.0,63.131,55.38,39.131,43.48,0.035,0.116
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,7.407,7.407
35,БДДР,Александър Стамболийски,205.569,20.0,127.58,62.06,107.58,57.97,2.992,12.249
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,42.231,29.7,36.821,26.92,1.218,3.533
,БДИБР,Белмекен-Чаира,149.536,5.179,90.09,60.25,84.911,58.82,5.174,6.89
38,БДИБР,Белмекен,144.036,3.81,85.786,59.56,81.976,58.46,,
39,БДИБР,Чаира,5.5,1.369,4.304,78.26,2.935,71.06,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,58.951,68.47,51.709,65.58,3.856,6.492
40,БДИБР,Голям Беглик,62.111,3.942,44.58,71.77,40.638,69.86,,
41,БДИБР,Широка поляна,23.98,3.3,14.371,59.93,11.071,53.54,,
42,БДИБР,Беглика,1.554,0.242,0.906,58.3,0.664,50.61,0.344,0.001
43,БДИБР,Тошков Чарк,1.782,0.276,0.548,30.77,0.272,18.09,0.687,0.25
44,БДИБР,Батак,310.298,19.95,173.515,55.92,153.565,52.89,8.52,0.495
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,412.787,91.88,397.88,91.61,2.26,8.399
46,БДИБР,Цанков камък,110.708,31.2,79.288,71.62,48.088,60.48,15.316,16.173
47,БДИБР,Въча,226.12,24.52,138.198,61.12,113.678,56.39,22.817,6.064
48,БДИБР,Кричим,20.256,1.73,19.321,95.38,17.591,94.95,6.481,9.386
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,286.575,57.63,179.399,45.99,8.091,0.636
50,БДИБР,Студен кладенец,387.772,90.667,247.025,63.7,156.358,52.63,11.659,1.878
51,БДИБР,Ивайловград,156.702,59.526,109.736,70.03,50.21,51.67,8.074,0.189
52,БДИБР,Розов кладенец,20.4,13.268,19.032,93.29,5.764,80.82,,
