number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,582.609,88.91,495.409,87.21,20.493,7.491
2,БДДР,Бели Искър,15.08,1.4,9.32,61.8,7.92,57.89,2.872,2.267
3,БДДР,Среченска бара,15.5,1.0,15.23,98.26,14.23,98.14,0.382,0.498
4,БДДР,Христо Смирненски,27.7,4.2,25.093,90.59,20.893,88.91,0.319,0.757
5,БДДР,Йовковци,92.179,9.0,71.943,78.05,62.943,75.67,0.179,0.851
6,БДЧР,Тича,311.8,40.0,173.963,55.79,133.963,49.29,0.802,2.254
7,БДЧР,Камчия,233.55,76.0,156.677,67.08,80.677,51.21,1.363,2.833
8,БДЧР,Ясна поляна,32.32,7.55,20.646,63.88,13.096,52.87,0.44,0.324
9,БДИБР,Асеновец,28.2,2.0,16.187,57.4,14.187,54.15,0.556,0.405
10,БДИБР,Боровица,27.3,4.6,26.77,98.06,22.17,97.67,0.494,0.32
11,БДЗБР,Студена,25.2,2.4,23.501,93.26,21.101,92.55,1.507,1.507
12,БДЗБР,Дяково,35.4,8.0,33.352,94.22,25.352,92.53,1.996,0.233
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.72,70.34,0.62,67.13,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,2.15,95.48,1.95,95.04,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,19.865,62.86,17.365,59.67,0.705,0.3
16,БДЧР,Порой,45.2,2.0,5.33,11.79,3.33,7.71,0.058,0.012
17,БДЧР,Ахелой,12.35,0.8,3.725,30.16,2.925,25.32,0.046,0.023
18,БДДР,Панчарево,6.465,1.5,5.295,81.91,3.795,76.44,8.575,6.825
19,БДДР,Ястребино,62.3,3.9,33.58,53.9,29.68,50.82,0.104,1.053
20,БДДР,Кула,20.25,0.7,9.48,46.81,8.78,44.91,0.046,0.046
21,БДДР,Рабиша,43.2,2.4,12.214,28.27,9.814,24.05,0.0,0.012
22,БДДР,Огоста,506.0,67.0,254.395,50.28,187.395,42.69,15.741,4.282
23,БДДР,Сопот,60.908,1.3,52.905,86.86,51.605,86.57,2.338,2.338
24,БДДР,Горни Дъбник,130.0,3.0,48.099,37.0,45.099,35.51,1.134,1.134
25,БДДР,Бели Лом,25.5,3.2,8.649,33.92,5.449,24.43,0.035,0.313
26,БДЧР,Съединение,12.81,1.5,8.053,62.86,6.553,57.94,0.012,0.127
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,128.087,38.81,107.087,34.66,0.069,1.377
28,БДИБР,Жребчево,400.0,30.0,201.815,50.45,171.815,46.44,6.267,9.624
29,БДИБР,Малко Шарково,45.0,3.9,30.578,67.95,26.678,64.91,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,18.055,69.25,17.355,68.4,0.925,0.008
31,БДИБР,Пясъчник,206.53,3.4,24.23,11.73,20.83,10.25,0.558,0.118
32,БДИБР,Тополница,137.108,20.0,99.301,72.43,79.301,67.72,9.711,3.472
33,БДИБР,Тракиец,114.0,24.0,63.102,55.35,39.102,43.45,0.15,0.706
34,БДЗБР,Пчелина,54.2,34.2,54.2,100.0,20.0,100.0,10.104,10.104
35,БДДР,Александър Стамболийски,205.569,20.0,170.749,83.06,150.749,81.24,7.121,1.598
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,83.182,58.49,77.772,56.85,4.879,9.367
,БДИБР,Белмекен-Чаира,149.536,5.179,129.191,86.39,124.012,85.91,19.215,18.283
38,БДИБР,Белмекен,144.036,3.81,126.541,87.85,122.731,87.52,,
39,БДИБР,Чаира,5.5,1.369,2.65,48.18,1.281,31.01,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,52.937,61.49,45.695,57.95,6.373,4.889
40,БДИБР,Голям Беглик,62.111,3.942,42.745,68.82,38.803,66.71,,
41,БДИБР,Широка поляна,23.98,3.3,10.192,42.5,6.892,33.33,,
42,БДИБР,Беглика,1.554,0.242,0.855,55.0,0.613,46.7,0.556,0.556
43,БДИБР,Тошков Чарк,1.782,0.276,1.31,73.52,1.034,68.67,0.901,0.002
44,БДИБР,Батак,310.298,19.95,233.375,75.21,213.425,73.51,8.366,10.526
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,403.982,89.92,389.075,89.58,5.853,3.397
46,БДИБР,Цанков камък,110.708,31.2,73.786,66.65,42.586,53.56,13.703,20.494
47,БДИБР,Въча,226.12,24.52,191.205,84.56,166.685,82.68,31.511,9.937
48,БДИБР,Кричим,20.256,1.73,19.442,95.98,17.712,95.61,10.28,14.79
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,343.353,69.05,236.177,60.55,18.022,19.512
50,БДИБР,Студен кладенец,387.772,90.667,300.583,77.52,209.916,70.65,22.395,25.249
51,БДИБР,Ивайловград,156.702,59.526,126.477,80.71,66.951,68.9,27.765,23.262
52,БДИБР,Розов кладенец,20.4,13.268,19.608,96.12,6.34,88.9,,
