number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,553.98,84.54,466.78,82.17,30.151,26.969
2,БДДР,Бели Искър,15.08,1.4,10.361,68.7,8.961,65.5,3.526,4.592
3,БДДР,Среченска бара,15.5,1.0,15.22,98.19,14.22,98.07,0.706,0.475
4,БДДР,Христо Смирненски,27.7,4.2,25.497,92.05,21.297,90.63,0.09,1.405
5,БДДР,Йовковци,92.179,9.0,72.57,78.73,63.57,76.43,0.771,0.771
6,БДЧР,Тича,311.8,40.0,175.469,56.28,135.469,49.84,1.676,1.676
7,БДЧР,Камчия,233.55,76.0,157.344,67.37,81.344,51.63,8.458,2.439
8,БДЧР,Ясна поляна,32.32,7.55,20.502,63.43,12.952,52.29,0.544,0.266
9,БДИБР,Асеновец,28.2,2.0,15.547,55.13,13.547,51.71,1.701,0.313
10,БДИБР,Боровица,27.3,4.6,26.54,97.22,21.94,96.65,0.783,0.32
11,БДЗБР,Студена,25.2,2.4,23.501,93.26,21.101,92.55,1.985,1.111
12,БДЗБР,Дяково,35.4,8.0,30.503,86.17,22.503,82.13,2.419,0.135
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.457,44.65,0.357,38.66,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,1.913,84.95,1.713,83.48,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,19.358,61.26,16.858,57.93,0.913,0.3
16,БДЧР,Порой,45.2,2.0,5.413,11.98,3.413,7.9,0.116,0.0
17,БДЧР,Ахелой,12.35,0.8,3.743,30.31,2.943,25.48,0.023,0.0
18,БДДР,Панчарево,6.465,1.5,5.317,82.24,3.817,76.87,30.732,30.148
19,БДДР,Ястребино,62.3,3.9,34.137,54.79,30.237,51.78,0.289,0.671
20,БДДР,Кула,20.25,0.7,9.469,46.76,8.769,44.85,0.035,0.035
21,БДДР,Рабиша,43.2,2.4,12.231,28.31,9.831,24.1,0.0,0.035
22,БДДР,Огоста,506.0,67.0,240.41,47.51,173.41,39.5,14.41,4.572
23,БДДР,Сопот,60.908,1.3,50.58,83.04,49.28,82.67,2.535,0.451
24,БДДР,Горни Дъбник,130.0,3.0,48.679,37.45,45.679,35.97,0.775,0.775
25,БДДР,Бели Лом,25.5,3.2,8.735,34.25,5.535,24.82,0.197,0.081
26,БДЧР,Съединение,12.81,1.5,8.107,63.29,6.607,58.42,0.093,0.093
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,129.56,39.26,108.56,35.13,0.0,1.319
28,БДИБР,Жребчево,400.0,30.0,199.93,49.98,169.93,45.93,9.307,2.594
29,БДИБР,Малко Шарково,45.0,3.9,30.473,67.72,26.573,64.66,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,15.289,58.64,14.589,57.5,2.785,0.008
31,БДИБР,Пясъчник,206.53,3.4,23.812,11.53,20.412,10.05,0.542,0.103
32,БДИБР,Тополница,137.108,20.0,87.22,63.61,67.22,57.4,9.653,5.278
33,БДИБР,Тракиец,114.0,24.0,63.853,56.01,39.853,44.28,0.15,0.463
34,БДЗБР,Пчелина,54.2,34.2,54.15,99.91,19.95,99.75,8.113,8.692
35,БДДР,Александър Стамболийски,205.569,20.0,155.712,75.75,135.712,73.13,15.705,11.567
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,79.844,56.14,74.434,54.41,12.226,1.047
,БДИБР,Белмекен-Чаира,149.536,5.179,115.175,77.02,109.996,76.2,24.081,9.173
38,БДИБР,Белмекен,144.036,3.81,113.233,78.61,109.423,78.03,,
39,БДИБР,Чаира,5.5,1.369,1.942,35.31,0.573,13.87,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,51.675,60.02,44.433,56.35,7.844,6.114
40,БДИБР,Голям Беглик,62.111,3.942,42.31,68.12,38.368,65.96,,
41,БДИБР,Широка поляна,23.98,3.3,9.365,39.05,6.065,29.33,,
42,БДИБР,Беглика,1.554,0.242,0.953,61.32,0.711,54.19,0.608,0.637
43,БДИБР,Тошков Чарк,1.782,0.276,0.972,54.55,0.696,46.22,0.961,0.503
44,БДИБР,Батак,310.298,19.95,231.882,74.73,211.932,72.99,14.363,10.042
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,397.617,88.51,382.71,88.11,7.959,3.048
46,БДИБР,Цанков камък,110.708,31.2,76.32,68.94,45.12,56.75,14.208,19.492
47,БДИБР,Въча,226.12,24.52,188.954,83.56,164.434,81.56,27.257,32.234
48,БДИБР,Кричим,20.256,1.73,19.624,96.88,17.894,96.59,32.007,33.711
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,357.185,71.83,250.009,64.09,18.966,26.632
50,БДИБР,Студен кладенец,387.772,90.667,307.525,79.31,216.858,72.99,35.174,32.29
51,БДИБР,Ивайловград,156.702,59.526,129.237,82.47,69.711,71.74,29.253,29.253
52,БДИБР,Розов кладенец,20.4,13.268,19.068,93.47,5.8,81.32,,
