number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,557.284,85.05,470.084,82.75,32.738,4.052
2,БДДР,Бели Искър,15.08,1.4,9.961,66.05,8.561,62.58,5.594,5.116
3,БДДР,Среченска бара,15.5,1.0,15.33,98.9,14.33,98.83,0.486,0.486
4,БДДР,Христо Смирненски,27.7,4.2,26.041,94.01,21.841,92.94,7.603,1.454
5,БДДР,Йовковци,92.179,9.0,81.716,88.65,72.716,87.42,35.622,0.713
6,БДЧР,Тича,311.8,40.0,224.456,71.99,184.456,67.86,2.191,2.191
7,БДЧР,Камчия,233.55,76.0,207.184,88.71,131.184,83.26,5.822,2.511
8,БДЧР,Ясна поляна,32.32,7.55,21.409,66.24,13.859,55.95,0.012,0.266
9,БДИБР,Асеновец,28.2,2.0,17.253,61.18,15.253,58.22,1.551,0.324
10,БДИБР,Боровица,27.3,4.6,27.28,99.93,22.68,99.91,0.667,0.32
11,БДЗБР,Студена,25.2,2.4,23.76,94.29,21.36,93.68,1.433,1.626
12,БДЗБР,Дяково,35.4,8.0,29.96,84.63,21.96,80.14,1.891,0.178
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.57,55.63,0.47,50.83,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,1.406,62.43,1.206,58.77,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,18.114,57.32,15.614,53.66,0.543,0.335
16,БДЧР,Порой,45.2,2.0,6.231,13.79,4.231,9.79,0.058,0.0
17,БДЧР,Ахелой,12.35,0.8,3.487,28.23,2.687,23.26,0.058,0.0
18,БДДР,Панчарево,6.465,1.5,5.346,82.69,3.846,77.45,3.796,3.629
19,БДДР,Ястребино,62.3,3.9,36.985,59.37,33.085,56.65,11.019,0.486
20,БДДР,Кула,20.25,0.7,7.474,36.91,6.774,34.65,0.081,0.046
21,БДДР,Рабиша,43.2,2.4,12.46,28.84,10.06,24.66,0.0,0.012
22,БДДР,Огоста,506.0,67.0,332.738,65.76,265.738,60.53,39.722,12.384
23,БДДР,Сопот,60.908,1.3,45.5,74.7,44.2,74.15,6.215,0.428
24,БДДР,Горни Дъбник,130.0,3.0,60.722,46.71,57.722,45.45,1.435,0.706
25,БДДР,Бели Лом,25.5,3.2,9.523,37.35,6.323,28.35,0.093,0.093
26,БДЧР,Съединение,12.81,1.5,8.761,68.39,7.261,64.2,0.104,0.104
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,160.676,48.69,139.676,45.2,1.738,1.738
28,БДИБР,Жребчево,400.0,30.0,264.047,66.01,234.047,63.26,22.0,5.63
29,БДИБР,Малко Шарково,45.0,3.9,34.548,76.77,30.648,74.57,0.174,0.174
30,БДИБР,Домлян,26.074,0.7,23.945,91.83,23.245,91.61,0.084,0.084
31,БДИБР,Пясъчник,206.53,3.4,50.73,24.56,47.33,23.3,3.132,0.262
32,БДИБР,Тополница,137.108,20.0,95.395,69.58,75.395,64.38,8.843,3.681
33,БДИБР,Тракиец,114.0,24.0,74.739,65.56,50.739,56.38,0.174,0.637
34,БДЗБР,Пчелина,54.2,34.2,54.15,99.91,19.95,99.75,8.692,8.692
35,БДДР,Александър Стамболийски,205.569,20.0,173.349,84.33,153.349,82.64,94.591,10.955
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,110.268,77.54,104.858,76.65,14.398,7.338
,БДИБР,Белмекен-Чаира,149.536,5.179,132.104,88.34,126.925,87.92,29.212,8.764
38,БДИБР,Белмекен,144.036,3.81,128.724,89.37,124.914,89.08,,
39,БДИБР,Чаира,5.5,1.369,3.38,61.45,2.011,48.68,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,75.849,88.1,68.607,87.01,4.475,2.698
40,БДИБР,Голям Беглик,62.111,3.942,55.317,89.06,51.375,88.32,,
41,БДИБР,Широка поляна,23.98,3.3,20.531,85.62,17.231,83.32,,
42,БДИБР,Беглика,1.554,0.242,0.855,55.0,0.613,46.7,0.355,0.003
43,БДИБР,Тошков Чарк,1.782,0.276,1.042,58.48,0.766,50.88,0.523,0.752
44,БДИБР,Батак,310.298,19.95,191.506,61.72,171.556,59.09,7.272,7.272
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,390.403,86.9,375.496,86.45,4.397,1.941
46,БДИБР,Цанков камък,110.708,31.2,80.955,73.13,49.755,62.58,8.64,9.221
47,БДИБР,Въча,226.12,24.52,199.635,88.29,175.115,86.86,18.196,12.828
48,БДИБР,Кричим,20.256,1.73,19.589,96.71,17.859,96.4,12.969,12.568
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,355.467,71.49,248.291,63.65,23.504,18.926
50,БДИБР,Студен кладенец,387.772,90.667,370.152,95.46,279.485,94.07,36.242,11.044
51,БДИБР,Ивайловград,156.702,59.526,150.419,95.99,90.893,93.53,21.391,7.7
52,БДИБР,Розов кладенец,20.4,13.268,19.176,94.0,5.908,82.84,,
