number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,588.522,89.82,501.322,88.25,17.798,24.332
2,БДДР,Бели Искър,15.08,1.4,10.473,69.45,9.073,66.32,2.651,1.91
3,БДДР,Среченска бара,15.5,1.0,15.28,98.58,14.28,98.48,0.44,0.556
4,БДДР,Христо Смирненски,27.7,4.2,26.409,95.34,22.209,94.51,6.972,1.546
5,БДДР,Йовковци,92.179,9.0,86.121,93.43,77.121,92.72,14.652,0.785
6,БДЧР,Тича,311.8,40.0,224.128,71.88,184.128,67.74,12.342,2.851
7,БДЧР,Камчия,233.55,76.0,204.75,87.67,128.75,81.72,0.023,2.986
8,БДЧР,Ясна поляна,32.32,7.55,20.39,63.09,12.84,51.84,0.012,0.347
9,БДИБР,Асеновец,28.2,2.0,17.6,62.41,15.6,59.54,0.938,0.475
10,БДИБР,Боровица,27.3,4.6,27.15,99.45,22.55,99.34,0.274,0.39
11,БДЗБР,Студена,25.2,2.4,24.093,95.61,21.693,95.14,2.003,2.003
12,БДЗБР,Дяково,35.4,8.0,32.975,93.15,24.975,91.15,0.0,0.434
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.815,79.59,0.715,77.38,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,2.209,98.08,2.009,97.89,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,20.897,66.13,18.397,63.22,1.145,0.335
16,БДЧР,Порой,45.2,2.0,6.053,13.39,4.053,9.38,0.012,0.012
17,БДЧР,Ахелой,12.35,0.8,3.403,27.55,2.603,22.54,0.012,0.023
18,БДДР,Панчарево,6.465,1.5,5.302,82.02,3.802,76.58,27.165,26.665
19,БДДР,Ястребино,62.3,3.9,40.803,65.49,36.903,63.19,14.757,0.903
20,БДДР,Кула,20.25,0.7,8.853,43.72,8.153,41.7,0.046,0.046
21,БДДР,Рабиша,43.2,2.4,12.724,29.45,10.324,25.3,0.0,0.012
22,БДДР,Огоста,506.0,67.0,371.42,73.4,304.42,69.34,31.03,58.229
23,БДДР,Сопот,60.908,1.3,52.743,86.59,51.443,86.3,3.438,1.551
24,БДДР,Горни Дъбник,130.0,3.0,58.35,44.88,55.35,43.58,0.799,2.245
25,БДДР,Бели Лом,25.5,3.2,9.266,36.34,6.066,27.2,0.035,0.301
26,БДЧР,Съединение,12.81,1.5,8.765,68.42,7.265,64.24,0.058,0.104
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,157.685,47.78,136.685,44.23,0.05,1.555
28,БДИБР,Жребчево,400.0,30.0,269.351,67.34,239.351,64.69,14.173,10.08
29,БДИБР,Малко Шарково,45.0,3.9,34.518,76.71,30.618,74.5,0.058,0.4
30,БДИБР,Домлян,26.074,0.7,24.611,94.39,23.911,94.23,0.09,0.09
31,БДИБР,Пясъчник,206.53,3.4,53.458,25.88,50.058,24.64,0.0,1.435
32,БДИБР,Тополница,137.108,20.0,124.404,90.73,104.404,89.15,13.449,17.164
33,БДИБР,Тракиец,114.0,24.0,73.201,64.21,49.201,54.67,0.058,0.718
34,БДЗБР,Пчелина,54.2,34.2,54.15,99.91,19.95,99.75,8.692,8.692
35,БДДР,Александър Стамболийски,205.569,20.0,193.45,94.1,173.45,93.47,85.028,19.42
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,118.478,83.31,113.068,82.65,8.792,11.361
,БДИБР,Белмекен-Чаира,149.536,5.179,144.36,96.54,139.181,96.41,16.543,21.869
38,БДИБР,Белмекен,144.036,3.81,139.937,97.15,136.127,97.08,,
39,БДИБР,Чаира,5.5,1.369,4.422,80.41,3.053,73.91,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,78.16,90.79,70.918,89.94,5.842,8.127
40,БДИБР,Голям Беглик,62.111,3.942,55.513,89.38,51.571,88.66,,
41,БДИБР,Широка поляна,23.98,3.3,22.647,94.44,19.347,93.55,,
42,БДИБР,Беглика,1.554,0.242,0.809,52.06,0.567,43.22,0.355,0.481
43,БДИБР,Тошков Чарк,1.782,0.276,1.292,72.49,1.016,67.45,0.358,0.756
44,БДИБР,Батак,310.298,19.95,199.049,64.15,179.099,61.68,10.485,8.349
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,410.453,91.36,395.546,91.07,8.557,1.19
46,БДИБР,Цанков камък,110.708,31.2,79.066,71.42,47.866,60.2,8.393,8.963
47,БДИБР,Въча,226.12,24.52,208.702,92.3,184.182,91.36,10.898,11.442
48,БДИБР,Кричим,20.256,1.73,19.537,96.45,17.807,96.12,11.236,14.343
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,381.987,76.82,274.811,70.45,10.916,1.295
50,БДИБР,Студен кладенец,387.772,90.667,331.901,85.59,241.234,81.19,0.752,15.731
51,БДИБР,Ивайловград,156.702,59.526,149.975,95.71,90.449,93.08,15.278,16.991
52,БДИБР,Розов кладенец,20.4,13.268,19.896,97.53,6.628,92.93,,
