number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,489.719,74.74,402.519,70.86,2.159,5.177
2,БДДР,Бели Искър,15.08,1.4,7.313,48.49,5.913,43.22,0.543,0.639
3,БДДР,Среченска бара,15.5,1.0,10.56,68.13,9.56,65.93,0.729,0.498
4,БДДР,Христо Смирненски,27.7,4.2,24.702,89.18,20.502,87.24,1.204,0.328
5,БДДР,Йовковци,92.179,9.0,58.471,63.43,49.471,59.48,0.066,1.271
6,БДЧР,Тича,311.8,40.0,149.467,47.94,109.467,40.27,1.317,1.317
7,БДЧР,Камчия,233.55,76.0,125.748,53.84,49.748,31.58,3.763,2.096
8,БДЧР,Ясна поляна,32.32,7.55,14.607,45.19,7.057,28.49,1.493,0.278
9,БДИБР,Асеновец,28.2,2.0,14.113,50.05,12.113,46.23,11.042,4.792
10,БДИБР,Боровица,27.3,4.6,27.275,99.91,22.675,99.89,0.256,0.256
11,БДЗБР,Студена,25.2,2.4,15.864,62.95,13.464,59.05,0.73,0.73
12,БДЗБР,Дяково,35.4,8.0,22.285,62.95,14.285,52.14,0.0,0.515
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.246,24.04,0.146,15.82,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,0.972,43.17,0.772,37.63,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,14.597,46.19,12.097,41.57,0.389,0.84
16,БДЧР,Порой,45.2,2.0,2.21,4.89,0.21,0.49,0.104,0.012
17,БДЧР,Ахелой,12.35,0.8,3.603,29.17,2.803,24.27,0.012,0.012
18,БДДР,Панчарево,6.465,1.5,5.448,84.28,3.948,79.52,2.934,3.327
19,БДДР,Ястребино,62.3,3.9,25.232,40.5,21.332,36.53,0.451,0.116
20,БДДР,Кула,20.25,0.7,8.808,43.5,8.108,41.47,0.035,0.035
21,БДДР,Рабиша,43.2,2.4,11.741,27.18,9.341,22.89,0.0,0.0
22,БДДР,Огоста,506.0,67.0,163.417,32.3,96.417,21.96,1.424,4.456
23,БДДР,Сопот,60.908,1.3,36.17,59.38,34.87,58.5,1.262,0.22
24,БДДР,Горни Дъбник,130.0,3.0,26.49,20.38,23.49,18.5,0.116,0.313
25,БДДР,Бели Лом,25.5,3.2,7.842,30.75,4.642,20.82,0.046,0.046
26,БДЧР,Съединение,12.81,1.5,7.162,55.91,5.662,50.06,0.058,0.058
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,110.854,33.59,89.854,29.08,1.192,1.192
28,БДИБР,Жребчево,400.0,30.0,126.496,31.62,96.496,26.08,4.146,1.731
29,БДИБР,Малко Шарково,45.0,3.9,19.764,43.92,15.864,38.6,0.012,0.104
30,БДИБР,Домлян,26.074,0.7,4.523,17.35,3.823,15.07,0.383,0.012
31,БДИБР,Пясъчник,206.53,3.4,15.484,7.5,12.084,5.95,0.435,0.071
32,БДИБР,Тополница,137.108,20.0,25.545,18.63,5.545,4.73,2.118,0.336
33,БДИБР,Тракиец,114.0,24.0,55.95,49.08,31.95,35.5,0.694,0.116
34,БДЗБР,Пчелина,54.2,34.2,54.05,99.72,19.85,99.25,6.238,6.238
35,БДДР,Александър Стамболийски,205.569,20.0,133.561,64.97,113.561,61.2,4.695,0.911
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,31.345,22.04,25.935,18.96,3.918,1.033
,БДИБР,Белмекен-Чаира,149.536,5.179,59.491,39.78,54.312,37.62,1.164,5.017
38,БДИБР,Белмекен,144.036,3.81,55.0,38.18,51.19,36.51,,
39,БДИБР,Чаира,5.5,1.369,4.491,81.65,3.122,75.57,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,27.32,31.73,20.078,25.46,1.214,0.94
40,БДИБР,Голям Беглик,62.111,3.942,23.525,37.88,19.583,33.67,,
41,БДИБР,Широка поляна,23.98,3.3,3.795,15.83,0.495,2.39,,
42,БДИБР,Беглика,1.554,0.242,0.831,53.46,0.589,44.87,0.012,0.239
43,БДИБР,Тошков Чарк,1.782,0.276,1.118,62.72,0.842,55.88,0.158,0.25
44,БДИБР,Батак,310.298,19.95,162.599,52.4,142.649,49.13,1.399,4.344
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,352.123,78.38,337.216,77.64,4.649,5.834
46,БДИБР,Цанков камък,110.708,31.2,79.337,71.66,48.137,60.54,8.223,10.512
47,БДИБР,Въча,226.12,24.52,136.858,60.52,112.338,55.72,16.785,5.118
48,БДИБР,Кричим,20.256,1.73,19.719,97.35,17.989,97.1,5.523,9.131
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,413.057,83.07,305.881,78.42,27.259,30.615
50,БДИБР,Студен кладенец,387.772,90.667,334.492,86.26,243.825,82.07,62.966,32.981
51,БДИБР,Ивайловград,156.702,59.526,127.128,81.13,67.602,69.57,46.599,34.554
52,БДИБР,Розов кладенец,20.4,13.268,18.168,89.06,4.9,68.7,,
