number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,489.98,74.78,402.78,70.91,4.167,8.696
2,БДДР,Бели Искър,15.08,1.4,7.037,46.66,5.637,41.2,0.503,0.938
3,БДДР,Среченска бара,15.5,1.0,10.42,67.23,9.42,64.97,0.394,0.625
4,БДДР,Христо Смирненски,27.7,4.2,24.324,87.81,20.124,85.63,0.174,0.757
5,БДДР,Йовковци,92.179,9.0,57.028,61.87,48.028,57.74,0.026,0.736
6,БДЧР,Тича,311.8,40.0,150.247,48.19,110.247,40.56,1.1,1.358
7,БДЧР,Камчия,233.55,76.0,126.223,54.05,50.223,31.88,0.715,2.161
8,БДЧР,Ясна поляна,32.32,7.55,15.509,47.99,7.959,32.13,0.324,0.278
9,БДИБР,Асеновец,28.2,2.0,14.52,51.49,12.52,47.79,0.347,0.347
10,БДИБР,Боровица,27.3,4.6,27.2,99.63,22.6,99.56,0.256,0.256
11,БДЗБР,Студена,25.2,2.4,15.78,62.62,13.38,58.69,0.486,0.761
12,БДЗБР,Дяково,35.4,8.0,21.284,60.12,13.284,48.48,0.0,0.485
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.246,24.04,0.146,15.82,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,0.772,34.26,0.572,27.85,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,14.103,44.63,11.603,39.87,0.08,0.23
16,БДЧР,Порой,45.2,2.0,2.353,5.21,0.353,0.82,0.12,0.012
17,БДЧР,Ахелой,12.35,0.8,3.651,29.56,2.851,24.68,0.012,0.012
18,БДДР,Панчарево,6.465,1.5,5.435,84.06,3.935,79.25,4.427,3.718
19,БДДР,Ястребино,62.3,3.9,25.865,41.52,21.965,37.61,0.428,0.093
20,БДДР,Кула,20.25,0.7,8.808,43.5,8.108,41.47,0.035,0.035
21,БДДР,Рабиша,43.2,2.4,11.734,27.16,9.334,22.88,0.0,0.0
22,БДДР,Огоста,506.0,67.0,156.709,30.97,89.709,20.43,0.289,4.861
23,БДДР,Сопот,60.908,1.3,37.04,60.81,35.74,59.96,1.169,0.243
24,БДДР,Горни Дъбник,130.0,3.0,26.118,20.09,23.118,18.2,0.139,0.336
25,БДДР,Бели Лом,25.5,3.2,7.893,30.95,4.693,21.04,0.046,0.046
26,БДЧР,Съединение,12.81,1.5,7.18,56.05,5.68,50.22,0.058,0.058
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,110.41,33.46,89.41,28.94,0.671,0.671
28,БДИБР,Жребчево,400.0,30.0,131.783,32.95,101.783,27.51,4.601,1.738
29,БДИБР,Малко Шарково,45.0,3.9,20.066,44.59,16.166,39.33,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,5.176,19.85,4.476,17.64,0.013,0.013
31,БДИБР,Пясъчник,206.53,3.4,15.799,7.65,12.399,6.1,0.072,0.072
32,БДИБР,Тополница,137.108,20.0,29.112,21.23,9.112,7.78,2.014,0.37
33,БДИБР,Тракиец,114.0,24.0,56.0,49.12,32.0,35.56,0.116,0.116
34,БДЗБР,Пчелина,54.2,34.2,54.0,99.63,19.8,99.0,5.185,5.185
35,БДДР,Александър Стамболийски,205.569,20.0,137.103,66.69,117.103,63.1,2.473,12.093
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,36.151,25.42,30.741,22.47,2.617,1.033
,БДИБР,Белмекен-Чаира,149.536,5.179,53.356,35.68,48.177,33.37,0.576,12.847
38,БДИБР,Белмекен,144.036,3.81,48.384,33.59,44.574,31.79,,
39,БДИБР,Чаира,5.5,1.369,4.972,90.41,3.603,87.23,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,26.922,31.27,19.68,24.96,0.875,4.861
40,БДИБР,Голям Беглик,62.111,3.942,23.172,37.31,19.23,33.06,,
41,БДИБР,Широка поляна,23.98,3.3,3.75,15.64,0.45,2.18,,
42,БДИБР,Беглика,1.554,0.242,0.839,54.02,0.597,45.54,0.001,0.001
43,БДИБР,Тошков Чарк,1.782,0.276,1.06,59.49,0.784,52.07,0.168,0.376
44,БДИБР,Батак,310.298,19.95,163.72,52.76,143.77,49.52,5.201,5.201
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,349.154,77.72,334.247,76.95,2.36,4.73
46,БДИБР,Цанков камък,110.708,31.2,74.349,67.16,43.149,54.27,5.817,13.466
47,БДИБР,Въча,226.12,24.52,144.147,63.75,119.627,59.34,15.966,20.613
48,БДИБР,Кричим,20.256,1.73,19.684,97.18,17.954,96.91,22.169,22.269
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,396.144,79.67,288.968,74.08,7.488,50.228
50,БДИБР,Студен кладенец,387.772,90.667,322.398,83.14,231.731,78.0,61.883,85.535
51,БДИБР,Ивайловград,156.702,59.526,117.962,75.28,58.436,60.13,93.532,129.004
52,БДИБР,Розов кладенец,20.4,13.268,18.348,89.94,5.08,71.23,,
