number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,491.024,74.94,403.824,71.09,0.885,3.906
2,БДДР,Бели Искър,15.08,1.4,7.236,47.99,5.836,42.66,0.379,0.68
3,БДДР,Среченска бара,15.5,1.0,10.073,64.99,9.073,62.57,1.308,1.539
4,БДДР,Христо Смирненски,27.7,4.2,23.719,85.63,19.519,83.06,0.322,0.322
5,БДДР,Йовковци,92.179,9.0,60.132,65.23,51.132,61.47,0.026,0.763
6,БДЧР,Тича,311.8,40.0,137.788,44.19,97.788,35.98,0.208,1.418
7,БДЧР,Камчия,233.55,76.0,106.316,45.52,30.316,19.24,1.585,2.117
8,БДЧР,Ясна поляна,32.32,7.55,11.523,35.65,3.973,16.04,0.44,0.266
9,БДИБР,Асеновец,28.2,2.0,11.573,41.04,9.573,36.54,0.139,0.37
10,БДИБР,Боровица,27.3,4.6,26.29,96.3,21.69,95.55,0.372,0.256
11,БДЗБР,Студена,25.2,2.4,15.923,63.19,13.523,59.31,0.793,0.793
12,БДЗБР,Дяково,35.4,8.0,23.65,66.81,15.65,57.12,0.205,0.205
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.298,29.13,0.198,21.46,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,1.137,50.49,0.937,45.66,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,14.935,47.26,12.435,42.73,0.26,0.26
16,БДЧР,Порой,45.2,2.0,1.876,4.15,0.0,0.0,0.081,0.0
17,БДЧР,Ахелой,12.35,0.8,3.357,27.18,2.557,22.14,0.012,0.0
18,БДДР,Панчарево,6.465,1.5,5.496,85.01,3.996,80.48,1.18,0.944
19,БДДР,Ястребино,62.3,3.9,21.612,34.69,17.712,30.33,0.104,0.104
20,БДДР,Кула,20.25,0.7,8.776,43.34,8.076,41.31,0.162,0.035
21,БДДР,Рабиша,43.2,2.4,11.753,27.21,9.353,22.92,0.0,0.0
22,БДДР,Огоста,506.0,67.0,161.84,31.98,94.84,21.6,4.375,4.375
23,БДДР,Сопот,60.908,1.3,32.35,53.11,31.05,52.09,0.648,0.243
24,БДДР,Горни Дъбник,130.0,3.0,27.309,21.01,24.309,19.14,0.081,0.509
25,БДДР,Бели Лом,25.5,3.2,7.621,29.89,4.421,19.83,0.058,0.058
26,БДЧР,Съединение,12.81,1.5,6.88,53.71,5.38,47.57,0.069,0.069
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,102.805,31.15,81.805,26.47,0.0,1.319
28,БДИБР,Жребчево,400.0,30.0,108.012,27.0,78.012,21.08,2.865,1.696
29,БДИБР,Малко Шарково,45.0,3.9,20.022,44.49,16.122,39.23,0.012,0.104
30,БДИБР,Домлян,26.074,0.7,3.103,11.9,2.403,9.47,0.388,0.011
31,БДИБР,Пясъчник,206.53,3.4,13.809,6.69,10.409,5.12,0.392,0.063
32,БДИБР,Тополница,137.108,20.0,21.318,15.55,1.318,1.13,0.949,0.336
33,БДИБР,Тракиец,114.0,24.0,50.985,44.72,26.985,29.98,0.012,0.116
34,БДЗБР,Пчелина,54.2,34.2,54.0,99.63,19.8,99.0,5.185,5.185
35,БДДР,Александър Стамболийски,205.569,20.0,112.692,54.82,92.692,49.95,1.91,1.048
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,19.222,13.52,13.812,10.1,2.899,1.033
,БДИБР,Белмекен-Чаира,149.536,5.179,64.651,43.23,59.472,41.2,1.574,2.959
38,БДИБР,Белмекен,144.036,3.81,60.332,41.89,56.522,40.31,,
39,БДИБР,Чаира,5.5,1.369,4.319,78.52,2.95,71.4,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,26.987,31.35,19.745,25.04,1.071,0.164
40,БДИБР,Голям Беглик,62.111,3.942,23.102,37.19,19.16,32.94,,
41,БДИБР,Широка поляна,23.98,3.3,3.885,16.2,0.585,2.83,,
42,БДИБР,Беглика,1.554,0.242,0.852,54.86,0.61,46.53,0.026,0.001
43,БДИБР,Тошков Чарк,1.782,0.276,1.306,73.26,1.03,68.36,0.212,0.345
44,БДИБР,Батак,310.298,19.95,160.418,51.7,140.468,48.38,0.519,0.519
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,358.266,79.75,343.359,79.05,1.776,0.591
46,БДИБР,Цанков камък,110.708,31.2,77.866,70.33,46.666,58.69,3.299,1.329
47,БДИБР,Въча,226.12,24.52,128.085,56.64,103.565,51.37,8.696,15.988
48,БДИБР,Кричим,20.256,1.73,19.494,96.24,17.764,95.89,16.615,12.211
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,339.381,68.25,232.205,59.53,12.597,0.798
50,БДИБР,Студен кладенец,387.772,90.667,292.504,75.43,201.837,67.93,38.492,2.062
51,БДИБР,Ивайловград,156.702,59.526,117.72,75.12,58.194,59.88,10.128,0.357
52,БДИБР,Розов кладенец,20.4,13.268,18.132,88.88,4.864,68.2,,
