number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,587.958,89.73,500.758,88.15,17.75,24.281
2,БДДР,Бели Искър,15.08,1.4,10.487,69.54,9.087,66.42,2.084,1.919
3,БДДР,Среченска бара,15.5,1.0,15.25,98.39,14.25,98.28,0.185,0.532
4,БДДР,Христо Смирненски,27.7,4.2,26.472,95.57,22.272,94.78,2.608,1.873
5,БДДР,Йовковци,92.179,9.0,86.505,93.84,77.505,93.18,5.236,0.795
6,БДЧР,Тича,311.8,40.0,224.128,71.88,184.128,67.74,2.991,2.991
7,БДЧР,Камчия,233.55,76.0,204.569,87.59,128.569,81.61,0.481,2.934
8,БДЧР,Ясна поляна,32.32,7.55,20.359,62.99,12.809,51.71,1.447,0.208
9,БДИБР,Асеновец,28.2,2.0,17.6,62.41,15.6,59.54,0.509,0.509
10,БДИБР,Боровица,27.3,4.6,27.135,99.4,22.535,99.27,0.216,0.39
11,БДЗБР,Студена,25.2,2.4,24.11,95.67,21.71,95.22,1.667,1.47
12,БДЗБР,Дяково,35.4,8.0,32.975,93.15,24.975,91.15,0.161,0.161
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.825,80.57,0.725,78.46,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,2.209,98.08,2.009,97.89,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,20.897,66.13,18.397,63.22,0.335,0.335
16,БДЧР,Порой,45.2,2.0,6.039,13.36,4.039,9.35,0.012,0.012
17,БДЧР,Ахелой,12.35,0.8,3.399,27.52,2.599,22.5,0.012,0.023
18,БДДР,Панчарево,6.465,1.5,5.216,80.68,3.716,74.84,28.042,29.042
19,БДДР,Ястребино,62.3,3.9,41.166,66.08,37.266,63.81,5.012,0.81
20,БДДР,Кула,20.25,0.7,8.853,43.72,8.153,41.7,0.046,0.046
21,БДДР,Рабиша,43.2,2.4,12.723,29.45,10.323,25.3,0.0,0.012
22,БДДР,Огоста,506.0,67.0,368.874,72.9,301.874,68.76,28.461,57.928
23,БДДР,Сопот,60.908,1.3,52.743,86.59,51.443,86.3,1.551,1.551
24,БДДР,Горни Дъбник,130.0,3.0,58.225,44.79,55.225,43.48,0.394,1.84
25,БДДР,Бели Лом,25.5,3.2,9.261,36.32,6.061,27.18,0.046,0.104
26,БДЧР,Съединение,12.81,1.5,8.763,68.41,7.263,64.22,0.093,0.116
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,157.555,47.74,136.555,44.19,0.085,1.589
28,БДИБР,Жребчево,400.0,30.0,268.998,67.25,238.998,64.59,5.988,10.081
29,БДИБР,Малко Шарково,45.0,3.9,34.489,76.64,30.589,74.43,0.058,0.396
30,БДИБР,Домлян,26.074,0.7,24.439,93.73,23.739,93.56,1.038,3.029
31,БДИБР,Пясъчник,206.53,3.4,53.21,25.76,49.81,24.52,0.0,2.87
32,БДИБР,Тополница,137.108,20.0,123.921,90.38,103.921,88.74,11.632,17.222
33,БДИБР,Тракиец,114.0,24.0,73.144,64.16,49.144,54.6,0.058,0.718
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,6.829,7.407
35,БДДР,Александър Стамболийски,205.569,20.0,194.09,94.42,174.09,93.81,33.623,26.216
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,118.145,83.08,112.735,82.41,9.562,13.416
,БДИБР,Белмекен-Чаира,149.536,5.179,144.187,96.42,139.008,96.29,13.309,15.305
38,БДИБР,Белмекен,144.036,3.81,139.731,97.01,135.921,96.93,,
39,БДИБР,Чаира,5.5,1.369,4.457,81.03,3.088,74.74,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,78.041,90.65,70.799,89.79,4.962,6.338
40,БДИБР,Голям Беглик,62.111,3.942,55.435,89.25,51.493,88.52,,
41,БДИБР,Широка поляна,23.98,3.3,22.607,94.27,19.307,93.36,,
42,БДИБР,Беглика,1.554,0.242,0.794,51.08,0.552,42.06,0.328,0.504
43,БДИБР,Тошков Чарк,1.782,0.276,1.258,70.61,0.982,65.22,0.392,0.781
44,БДИБР,Батак,310.298,19.95,199.049,64.15,179.099,61.68,8.244,8.244
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,410.878,91.46,395.971,91.17,5.977,1.066
46,БДИБР,Цанков камък,110.708,31.2,78.992,71.35,47.792,60.11,5.184,6.039
47,БДИБР,Въча,226.12,24.52,208.467,92.19,183.947,91.24,9.036,11.756
48,БДИБР,Кричим,20.256,1.73,19.572,96.62,17.842,96.31,11.444,11.043
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,382.68,76.96,275.504,70.63,9.572,1.544
50,БДИБР,Студен кладенец,387.772,90.667,330.867,85.33,240.2,80.85,1.606,13.569
51,БДИБР,Ивайловград,156.702,59.526,149.975,95.71,90.449,93.08,15.058,15.058
52,БДИБР,Розов кладенец,20.4,13.268,19.896,97.53,6.628,92.93,,
