number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,505.069,77.08,417.869,73.56,7.091,11.676
2,БДДР,Бели Искър,15.08,1.4,7.785,51.62,6.385,46.67,0.727,0.751
3,БДДР,Среченска бара,15.5,1.0,15.027,96.95,14.027,96.74,0.451,0.451
4,БДДР,Христо Смирненски,27.7,4.2,22.925,82.76,18.725,79.68,0.763,0.326
5,БДДР,Йовковци,92.179,9.0,73.738,79.99,64.738,77.83,0.14,0.707
6,БДЧР,Тича,311.8,40.0,179.061,57.43,139.061,51.16,0.125,1.351
7,БДЧР,Камчия,233.55,76.0,154.309,66.07,78.309,49.7,2.482,2.343
8,БДЧР,Ясна поляна,32.32,7.55,18.424,57.0,10.874,43.9,0.463,0.255
9,БДИБР,Асеновец,28.2,2.0,12.747,45.2,10.747,41.02,0.556,0.243
10,БДИБР,Боровица,27.3,4.6,25.037,91.71,20.437,90.03,0.412,0.319
11,БДЗБР,Студена,25.2,2.4,23.577,93.56,21.177,92.88,1.581,1.389
12,БДЗБР,Дяково,35.4,8.0,21.466,60.64,13.466,49.15,0.453,0.129
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.387,37.74,0.287,31.01,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,0.294,13.05,0.094,4.58,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,18.955,59.98,16.455,56.55,0.415,0.82
16,БДЧР,Порой,45.2,2.0,5.406,11.96,3.406,7.88,0.162,0.0
17,БДЧР,Ахелой,12.35,0.8,3.646,29.52,2.846,24.64,0.058,0.0
18,БДДР,Панчарево,6.465,1.5,5.166,79.9,3.666,73.83,14.121,15.037
19,БДДР,Ястребино,62.3,3.9,35.35,56.74,31.45,53.85,0.544,0.162
20,БДДР,Кула,20.25,0.7,9.448,46.66,8.748,44.75,0.046,0.046
21,БДДР,Рабиша,43.2,2.4,12.296,28.46,9.896,24.25,0.0,0.012
22,БДДР,Огоста,506.0,67.0,226.62,44.79,159.62,36.36,4.167,8.218
23,БДДР,Сопот,60.908,1.3,42.96,70.53,41.66,69.89,2.188,0.336
24,БДДР,Горни Дъбник,130.0,3.0,48.731,37.49,45.731,36.01,1.007,0.405
25,БДДР,Бели Лом,25.5,3.2,8.649,33.92,5.449,24.43,0.081,0.081
26,БДЧР,Съединение,12.81,1.5,8.071,63.01,6.571,58.1,0.093,0.093
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,132.621,40.19,111.621,36.12,0.0,1.319
28,БДИБР,Жребчево,400.0,30.0,187.96,46.99,157.96,42.69,1.718,1.718
29,БДИБР,Малко Шарково,45.0,3.9,30.368,67.48,26.468,64.4,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,6.998,26.84,6.298,24.82,0.551,0.006
31,БДИБР,Пясъчник,206.53,3.4,22.102,10.7,18.702,9.21,0.536,0.096
32,БДИБР,Тополница,137.108,20.0,71.298,52.0,51.298,43.8,7.419,0.567
33,БДИБР,Тракиец,114.0,24.0,62.485,54.81,38.485,42.76,0.012,0.15
34,БДЗБР,Пчелина,54.2,34.2,54.15,99.91,19.95,99.75,8.692,8.692
35,БДДР,Александър Стамболийски,205.569,20.0,136.771,66.53,116.771,62.93,7.716,1.01
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,52.078,36.62,46.668,34.11,4.269,0.989
,БДИБР,Белмекен-Чаира,149.536,5.179,63.575,42.51,58.396,40.45,3.599,7.072
38,БДИБР,Белмекен,144.036,3.81,63.008,43.74,59.198,42.22,,
39,БДИБР,Чаира,5.5,1.369,0.567,10.31,0.0,0.0,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,47.471,55.14,40.229,51.02,5.03,5.222
40,БДИБР,Голям Беглик,62.111,3.942,39.21,63.13,35.268,60.63,,
41,БДИБР,Широка поляна,23.98,3.3,8.262,34.45,4.962,23.99,,
42,БДИБР,Беглика,1.554,0.242,0.879,56.56,0.637,48.54,0.272,0.558
43,БДИБР,Тошков Чарк,1.782,0.276,0.674,37.82,0.398,26.43,0.645,0.627
44,БДИБР,Батак,310.298,19.95,219.376,70.7,199.426,68.69,7.057,0.576
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,385.947,85.91,371.04,85.43,3.789,3.789
46,БДИБР,Цанков камък,110.708,31.2,88.766,80.18,57.566,72.4,15.323,24.876
47,БДИБР,Въча,226.12,24.52,200.934,88.86,176.414,87.51,33.127,34.738
48,БДИБР,Кричим,20.256,1.73,19.823,97.86,18.093,97.66,37.961,34.954
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,382.958,77.02,275.782,70.7,20.382,13.956
50,БДИБР,Студен кладенец,387.772,90.667,324.953,83.8,234.286,78.86,19.759,34.59
51,БДИБР,Ивайловград,156.702,59.526,131.649,84.01,72.123,74.22,36.653,41.349
52,БДИБР,Розов кладенец,20.4,13.268,19.104,93.65,5.836,81.83,,
