number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,515.545,78.68,428.345,75.41,7.658,10.741
2,БДДР,Бели Искър,15.08,1.4,10.016,66.42,8.616,62.98,0.596,0.737
3,БДДР,Среченска бара,15.5,1.0,14.557,93.92,13.557,93.5,0.44,0.544
4,БДДР,Христо Смирненски,27.7,4.2,21.335,77.02,17.135,72.91,0.484,0.753
5,БДДР,Йовковци,92.179,9.0,77.045,83.58,68.045,81.81,0.233,0.595
6,БДЧР,Тича,311.8,40.0,187.356,60.09,147.356,54.21,0.092,1.473
7,БДЧР,Камчия,233.55,76.0,157.418,67.4,81.418,51.68,0.814,2.422
8,БДЧР,Ясна поляна,32.32,7.55,18.29,56.59,10.74,43.36,0.509,0.301
9,БДИБР,Асеновец,28.2,2.0,11.48,40.71,9.48,36.18,0.093,0.405
10,БДИБР,Боровица,27.3,4.6,24.094,88.26,19.494,85.88,0.105,0.255
11,БДЗБР,Студена,25.2,2.4,18.757,74.43,16.357,71.74,1.092,0.819
12,БДЗБР,Дяково,35.4,8.0,23.516,66.43,15.516,56.63,0.0,0.344
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.253,24.69,0.153,16.54,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,1.347,59.81,1.147,55.9,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,18.663,59.06,16.163,55.54,0.138,0.335
16,БДЧР,Порой,45.2,2.0,5.14,11.37,3.14,7.27,0.231,0.0
17,БДЧР,Ахелой,12.35,0.8,3.386,27.42,2.586,22.39,0.012,0.0
18,БДДР,Панчарево,6.465,1.5,5.317,82.24,3.817,76.87,11.116,9.7
19,БДДР,Ястребино,62.3,3.9,33.547,53.85,29.647,50.77,0.336,0.116
20,БДДР,Кула,20.25,0.7,9.322,46.03,8.622,44.1,0.035,0.035
21,БДДР,Рабиша,43.2,2.4,12.329,28.54,9.929,24.34,0.0,0.0
22,БДДР,Огоста,506.0,67.0,246.79,48.77,179.79,40.95,18.866,9.028
23,БДДР,Сопот,60.908,1.3,33.65,55.25,32.35,54.27,0.799,0.22
24,БДДР,Горни Дъбник,130.0,3.0,46.361,35.66,43.361,34.14,0.347,0.347
25,БДДР,Бели Лом,25.5,3.2,7.995,31.35,4.795,21.5,0.069,0.069
26,БДЧР,Съединение,12.81,1.5,7.841,61.21,6.341,56.07,0.081,0.081
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,136.022,41.22,115.022,37.22,1.053,1.053
28,БДИБР,Жребчево,400.0,30.0,177.904,44.48,147.904,39.97,3.308,1.78
29,БДИБР,Малко Шарково,45.0,3.9,30.291,67.31,26.391,64.21,0.405,0.104
30,БДИБР,Домлян,26.074,0.7,3.345,12.83,2.645,10.42,0.004,0.004
31,БДИБР,Пясъчник,206.53,3.4,18.935,9.17,15.535,7.65,0.49,0.085
32,БДИБР,Тополница,137.108,20.0,46.466,33.89,26.466,22.6,2.581,0.556
33,БДИБР,Тракиец,114.0,24.0,63.236,55.47,39.236,43.6,0.035,0.116
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,7.407,7.407
35,БДДР,Александър Стамболийски,205.569,20.0,139.186,67.71,119.186,64.23,2.046,1.078
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,45.183,31.77,39.773,29.07,1.632,4.039
,БДИБР,Белмекен-Чаира,149.536,5.179,92.648,61.96,87.469,60.59,2.166,2.811
38,БДИБР,Белмекен,144.036,3.81,88.268,61.28,84.458,60.23,,
39,БДИБР,Чаира,5.5,1.369,4.38,79.63,3.011,72.89,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,63.304,73.53,56.062,71.1,3.771,7.853
40,БДИБР,Голям Беглик,62.111,3.942,47.74,76.86,43.798,75.29,,
41,БДИБР,Широка поляна,23.98,3.3,15.565,64.91,12.265,59.31,,
42,БДИБР,Беглика,1.554,0.242,0.879,56.56,0.637,48.54,0.18,0.0
43,БДИБР,Тошков Чарк,1.782,0.276,0.476,26.68,0.2,13.25,0.297,1.063
44,БДИБР,Батак,310.298,19.95,163.114,52.57,143.164,49.31,8.394,0.497
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,417.561,92.95,402.654,92.7,5.443,5.443
46,БДИБР,Цанков камък,110.708,31.2,79.758,72.04,48.558,61.07,6.759,5.611
47,БДИБР,Въча,226.12,24.52,127.875,56.55,103.355,51.27,7.206,5.991
48,БДИБР,Кричим,20.256,1.73,19.632,96.92,17.902,96.63,5.688,4.686
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,282.85,56.88,175.674,45.04,6.846,0.745
50,БДИБР,Студен кладенец,387.772,90.667,237.511,61.25,146.844,49.43,3.631,15.35
51,БДИБР,Ивайловград,156.702,59.526,115.797,73.9,56.271,57.91,18.057,8.424
52,БДИБР,Розов кладенец,20.4,13.268,19.212,94.18,5.944,83.34,,
