number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,503.618,76.86,416.418,73.31,3.535,9.641
2,БДДР,Бели Искър,15.08,1.4,8.567,56.81,7.167,52.39,0.294,0.765
3,БДДР,Среченска бара,15.5,1.0,14.806,95.52,13.806,95.21,0.498,0.498
4,БДДР,Христо Смирненски,27.7,4.2,21.137,76.31,16.937,72.07,0.612,0.747
5,БДДР,Йовковци,92.179,9.0,74.672,81.01,65.672,78.95,0.129,0.701
6,БДЧР,Тича,311.8,40.0,182.135,58.41,142.135,52.29,0.216,1.442
7,БДЧР,Камчия,233.55,76.0,157.27,67.34,81.27,51.58,1.803,2.532
8,БДЧР,Ясна поляна,32.32,7.55,18.617,57.6,11.067,44.68,0.139,0.278
9,БДИБР,Асеновец,28.2,2.0,12.38,43.9,10.38,39.62,0.359,0.359
10,БДИБР,Боровица,27.3,4.6,23.97,87.8,19.37,85.33,0.128,0.255
11,БДЗБР,Студена,25.2,2.4,20.296,80.54,17.896,78.49,2.063,0.72
12,БДЗБР,Дяково,35.4,8.0,21.34,60.28,13.34,48.69,0.0,0.485
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.352,34.39,0.252,27.29,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,0.56,24.88,0.36,17.56,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,18.799,59.49,16.299,56.01,0.457,0.26
16,БДЧР,Порой,45.2,2.0,5.342,11.82,3.342,7.74,0.092,0.0
17,БДЧР,Ахелой,12.35,0.8,3.56,28.83,2.76,23.9,0.012,0.0
18,БДДР,Панчарево,6.465,1.5,5.151,79.68,3.651,73.54,8.829,8.663
19,БДДР,Ястребино,62.3,3.9,34.713,55.72,30.813,52.76,0.324,0.116
20,БДДР,Кула,20.25,0.7,9.314,46.0,8.614,44.06,0.023,0.035
21,БДДР,Рабиша,43.2,2.4,12.321,28.52,9.921,24.32,0.0,0.0
22,БДДР,Огоста,506.0,67.0,231.275,45.71,164.275,37.42,2.025,7.697
23,БДДР,Сопот,60.908,1.3,37.16,61.01,35.86,60.16,1.181,0.255
24,БДДР,Горни Дъбник,130.0,3.0,47.678,36.68,44.678,35.18,0.995,0.382
25,БДДР,Бели Лом,25.5,3.2,8.242,32.32,5.042,22.61,0.185,0.081
26,БДЧР,Съединение,12.81,1.5,7.982,62.31,6.482,57.31,0.081,0.081
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,134.435,40.74,113.435,36.71,1.169,1.169
28,БДИБР,Жребчево,400.0,30.0,183.544,45.89,153.544,41.5,0.91,4.105
29,БДИБР,Малко Шарково,45.0,3.9,30.368,67.48,26.468,64.4,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,5.029,19.29,4.329,17.06,0.079,0.005
31,БДИБР,Пясъчник,206.53,3.4,20.545,9.95,17.145,8.44,0.09,0.09
32,БДИБР,Тополница,137.108,20.0,59.04,43.06,39.04,33.34,3.137,0.567
33,БДИБР,Тракиец,114.0,24.0,62.831,55.11,38.831,43.15,0.012,0.115
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,7.407,7.407
35,БДДР,Александър Стамболийски,205.569,20.0,123.073,59.87,103.073,55.54,3.631,0.916
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,42.131,29.63,36.721,26.84,2.748,3.904
,БДИБР,Белмекен-Чаира,149.536,5.179,76.074,50.87,70.895,49.11,4.266,10.057
38,БДИБР,Белмекен,144.036,3.81,74.056,51.41,70.246,50.09,,
39,БДИБР,Чаира,5.5,1.369,2.018,36.7,0.649,15.72,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,49.405,57.39,42.163,53.47,3.553,8.633
40,БДИБР,Голям Беглик,62.111,3.942,40.012,64.42,36.07,62.01,,
41,БДИБР,Широка поляна,23.98,3.3,9.392,39.17,6.092,29.46,,
42,БДИБР,Беглика,1.554,0.242,0.943,60.69,0.701,53.44,0.259,0.002
43,БДИБР,Тошков Чарк,1.782,0.276,0.581,32.59,0.305,20.23,0.641,0.001
44,БДИБР,Батак,310.298,19.95,196.012,63.17,176.062,60.64,10.108,0.528
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,393.798,87.66,378.891,87.23,3.462,8.373
46,БДИБР,Цанков камък,110.708,31.2,83.295,75.24,52.095,65.52,15.309,15.607
47,БДИБР,Въча,226.12,24.52,170.742,75.51,146.222,72.53,30.24,19.059
48,БДИБР,Кричим,20.256,1.73,19.425,95.9,17.695,95.51,20.483,18.682
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,335.951,67.56,228.775,58.65,10.544,19.333
50,БДИБР,Студен кладенец,387.772,90.667,292.991,75.56,202.324,68.1,32.574,18.518
51,БДИБР,Ивайловград,156.702,59.526,122.774,78.35,63.248,65.09,15.013,28.168
52,БДИБР,Розов кладенец,20.4,13.268,19.212,94.18,5.944,83.34,,
