number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,501.905,76.6,414.705,73.0,1.029,5.602
2,БДДР,Бели Искър,15.08,1.4,7.154,47.44,5.754,42.06,0.758,0.651
3,БДДР,Среченска бара,15.5,1.0,11.613,74.92,10.613,73.19,0.081,0.625
4,БДДР,Христо Смирненски,27.7,4.2,23.668,85.45,19.468,82.84,0.034,0.326
5,БДДР,Йовковци,92.179,9.0,63.862,69.28,54.862,65.96,0.067,0.836
6,БДЧР,Тича,311.8,40.0,144.326,46.29,104.326,38.38,0.094,2.159
7,БДЧР,Камчия,233.55,76.0,112.981,48.38,36.981,23.47,0.007,2.148
8,БДЧР,Ясна поляна,32.32,7.55,13.286,41.11,5.736,23.16,0.012,0.347
9,БДИБР,Асеновец,28.2,2.0,12.407,44.0,10.407,39.72,0.012,0.324
10,БДИБР,Боровица,27.3,4.6,24.849,91.02,20.249,89.2,0.03,0.319
11,БДЗБР,Студена,25.2,2.4,17.38,68.97,14.98,65.7,0.495,0.777
12,БДЗБР,Дяково,35.4,8.0,26.199,74.01,18.199,66.42,0.376,0.376
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.556,54.32,0.456,49.37,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,1.079,47.91,0.879,42.83,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,15.813,50.04,13.313,45.75,0.213,0.965
16,БДЧР,Порой,45.2,2.0,2.385,5.28,0.385,0.89,0.023,0.0
17,БДЧР,Ахелой,12.35,0.8,3.229,26.15,2.429,21.03,0.012,0.023
18,БДДР,Панчарево,6.465,1.5,5.324,82.35,3.824,77.02,1.3,1.796
19,БДДР,Ястребино,62.3,3.9,21.685,34.81,17.785,30.45,0.069,0.127
20,БДДР,Кула,20.25,0.7,8.879,43.85,8.179,41.84,0.0,0.046
21,БДДР,Рабиша,43.2,2.4,11.819,27.36,9.419,23.09,0.0,0.012
22,БДДР,Огоста,506.0,67.0,183.03,36.17,116.03,26.43,1.586,4.259
23,БДДР,Сопот,60.908,1.3,32.07,52.65,30.77,51.62,0.394,0.394
24,БДДР,Горни Дъбник,130.0,3.0,31.292,24.07,28.292,22.28,0.069,1.007
25,БДДР,Бели Лом,25.5,3.2,7.655,30.02,4.455,19.98,0.012,0.069
26,БДЧР,Съединение,12.81,1.5,7.043,54.98,5.543,49.01,0.012,0.081
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,106.32,32.22,85.32,27.61,0.382,1.69
28,БДИБР,Жребчево,400.0,30.0,100.848,25.21,70.848,19.15,0.069,2.291
29,БДИБР,Малко Шарково,45.0,3.9,20.39,45.31,16.49,40.12,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,2.015,7.73,1.315,5.18,0.056,0.01
31,БДИБР,Пясъчник,206.53,3.4,13.234,6.41,9.834,4.84,0.0,0.06
32,БДИБР,Тополница,137.108,20.0,21.601,15.75,1.601,1.37,0.162,0.37
33,БДИБР,Тракиец,114.0,24.0,51.664,45.32,27.664,30.74,0.0,0.405
34,БДЗБР,Пчелина,54.2,34.2,53.95,99.54,19.75,98.75,4.259,4.259
35,БДДР,Александър Стамболийски,205.569,20.0,114.863,55.88,94.863,51.12,2.847,1.105
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,13.788,9.7,8.378,6.12,1.546,1.056
,БДИБР,Белмекен-Чаира,149.536,5.179,73.872,49.4,68.693,47.59,1.892,2.203
38,БДИБР,Белмекен,144.036,3.81,70.86,49.2,67.05,47.82,,
39,БДИБР,Чаира,5.5,1.369,3.012,54.76,1.643,39.76,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,26.819,31.15,19.577,24.83,0.831,3.455
40,БДИБР,Голям Беглик,62.111,3.942,23.219,37.38,19.277,33.14,,
41,БДИБР,Широка поляна,23.98,3.3,3.6,15.01,0.3,1.45,,
42,БДИБР,Беглика,1.554,0.242,0.663,42.68,0.421,32.11,0.031,0.006
43,БДИБР,Тошков Чарк,1.782,0.276,0.771,43.25,0.495,32.85,0.154,0.318
44,БДИБР,Батак,310.298,19.95,161.593,52.08,141.643,48.78,3.776,3.776
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,361.849,80.55,346.942,79.88,1.064,8.174
46,БДИБР,Цанков камък,110.708,31.2,83.218,75.17,52.018,65.42,8.629,12.21
47,БДИБР,Въча,226.12,24.52,131.814,58.29,107.294,53.22,13.489,12.256
48,БДИБР,Кричим,20.256,1.73,19.762,97.56,18.032,97.34,12.041,11.74
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,316.48,63.65,209.304,53.66,1.768,12.92
50,БДИБР,Студен кладенец,387.772,90.667,214.919,55.42,124.252,41.82,12.961,4.618
51,БДИБР,Ивайловград,156.702,59.526,90.385,57.68,30.859,31.76,3.767,20.134
52,БДИБР,Розов кладенец,20.4,13.268,19.212,94.18,5.944,83.34,,
