number,water_body_directorate,dam_name,total_volume,dead_volume,available_volume,available_volume_percent,available_useful_volume,available_useful_volume_percent,water_intake,water_drain
1,БДДР,Искър,655.252,87.2,506.258,77.26,419.058,73.77,6.971,14.621
2,БДДР,Бели Искър,15.08,1.4,8.766,58.13,7.366,53.84,0.347,0.766
3,БДДР,Среченска бара,15.5,1.0,14.874,95.96,13.874,95.68,0.602,0.486
4,БДДР,Христо Смирненски,27.7,4.2,21.218,76.6,17.018,72.42,0.754,0.754
5,БДДР,Йовковци,92.179,9.0,74.969,81.33,65.969,79.31,0.132,0.705
6,БДЧР,Тича,311.8,40.0,182.798,58.63,142.798,52.54,0.13,1.356
7,БДЧР,Камчия,233.55,76.0,157.862,67.59,81.862,51.96,1.76,2.489
8,БДЧР,Ясна поляна,32.32,7.55,18.767,58.07,11.217,45.28,0.185,0.312
9,БДИБР,Асеновец,28.2,2.0,12.32,43.69,10.32,39.39,0.451,0.451
10,БДИБР,Боровица,27.3,4.6,24.045,88.08,19.445,85.66,0.162,0.255
11,БДЗБР,Студена,25.2,2.4,19.958,79.2,17.558,77.01,1.247,0.74
12,БДЗБР,Дяково,35.4,8.0,21.578,60.95,13.578,49.55,0.0,0.323
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.342,33.44,0.242,26.23,,
14,БДЗБР,Карагьол  - за рез.водоснабдяване,2.252,0.2,0.632,28.06,0.432,21.05,,
15,БДДР,Огняново  - за рез.водоснабдяване **,31.6,2.5,18.782,59.44,16.282,55.95,0.26,0.26
16,БДЧР,Порой,45.2,2.0,5.33,11.79,3.33,7.71,0.104,0.0
17,БДЧР,Ахелой,12.35,0.8,3.547,28.72,2.747,23.78,0.046,0.0
18,БДДР,Панчарево,6.465,1.5,5.151,79.68,3.651,73.54,13.345,12.928
19,БДДР,Ястребино,62.3,3.9,34.612,55.56,30.712,52.59,0.324,0.139
20,БДДР,Кула,20.25,0.7,9.333,46.09,8.633,44.16,0.0,0.035
21,БДДР,Рабиша,43.2,2.4,12.321,28.52,9.921,24.32,0.0,0.0
22,БДДР,Огоста,506.0,67.0,233.94,46.23,166.94,38.03,3.009,9.028
23,БДДР,Сопот,60.908,1.3,36.71,60.27,35.41,59.4,1.296,0.255
24,БДДР,Горни Дъбник,130.0,3.0,47.52,36.55,44.52,35.06,0.995,0.382
25,БДДР,Бели Лом,25.5,3.2,8.19,32.12,4.99,22.38,0.174,0.021
26,БДЧР,Съединение,12.81,1.5,7.955,62.1,6.455,57.07,0.185,0.093
27,БДЧР,Георги Трайков (Цонево),330.0,21.0,134.662,40.81,113.662,36.78,1.192,1.192
28,БДИБР,Жребчево,400.0,30.0,183.682,45.92,153.682,41.54,1.715,1.715
29,БДИБР,Малко Шарково,45.0,3.9,30.368,67.48,26.468,64.4,0.104,0.104
30,БДИБР,Домлян,26.074,0.7,4.913,18.84,4.213,16.61,0.376,0.005
31,БДИБР,Пясъчник,206.53,3.4,20.37,9.86,16.97,8.35,0.09,0.09
32,БДИБР,Тополница,137.108,20.0,57.577,41.99,37.577,32.09,3.657,0.556
33,БДИБР,Тракиец,114.0,24.0,62.896,55.17,38.896,43.22,0.023,0.116
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,7.407,7.407
35,БДДР,Александър Стамболийски,205.569,20.0,121.592,59.15,101.592,54.75,3.67,0.974
36,БДДР,Кокаляне,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,42.431,29.84,37.021,27.06,2.558,3.719
,БДИБР,Белмекен-Чаира,149.536,5.179,78.611,52.57,73.432,50.87,3.225,10.029
38,БДИБР,Белмекен,144.036,3.81,75.79,52.62,71.98,51.33,,
39,БДИБР,Чаира,5.5,1.369,2.821,51.3,1.452,35.16,,
,БДИБР,Баташки водносилов път,,,,,,,,
,БДИБР,Голям Беглик-Широка поляна,86.091,7.242,50.834,59.05,43.592,55.29,3.985,4.505
40,БДИБР,Голям Беглик,62.111,3.942,40.89,65.83,36.948,63.52,,
41,БДИБР,Широка поляна,23.98,3.3,9.944,41.47,6.644,32.13,,
42,БДИБР,Беглика,1.554,0.242,0.876,56.4,0.634,48.35,0.098,0.555
43,БДИБР,Тошков Чарк,1.782,0.276,0.563,31.61,0.287,19.07,0.402,1.064
44,БДИБР,Батак,310.298,19.95,191.965,61.86,172.015,59.24,5.79,0.468
,БДИБР,Каскада Доспат-Въча,,,,,,,,
45,БДЗБР,Доспат,449.249,14.907,396.556,88.27,381.649,87.87,1.104,8.471
46,БДИБР,Цанков камък,110.708,31.2,83.45,75.38,52.25,65.72,15.872,21.862
47,БДИБР,Въча,226.12,24.52,164.359,72.69,139.839,69.36,27.811,8.355
48,БДИБР,Кричим,20.256,1.73,19.304,95.3,17.574,94.86,8.37,13.279
,БДИБР,Каскада Арда,,,,,,,,
49,БДИБР,Кърджали,497.236,107.176,332.555,66.88,225.379,57.78,14.421,7.183
50,БДИБР,Студен кладенец,387.772,90.667,289.357,74.62,198.69,66.88,21.531,2.02
51,БДИБР,Ивайловград,156.702,59.526,122.272,78.03,62.746,64.57,7.499,0.274
52,БДИБР,Розов кладенец,20.4,13.268,18.996,93.12,5.728,80.31,,
